x_index,y_index,matched_w_ind[mm],matched_the_L[mm],matched_phasedeg[deg]
0,0,2.2,2.2,-149.431
1,0,2.2,2.4,-193.691
2,0,2.2,2.4,-193.691
3,0,0.2,0.2,-322.062
4,0,0.2,0.2,-322.062
5,0,0.2,0.2,-322.062
6,0,0.2,0.2,-322.062
7,0,0.2,0.2,-322.062
8,0,0.2,0.2,-322.062
9,0,2.2,2.4,-193.691
10,0,2.2,2.4,-193.691
11,0,2.2,2.2,-149.431
0,1,2.2,2.4,-193.691
1,1,0.2,0.2,-322.062
2,1,0.2,0.2,-322.062
3,1,0.6,1.3,-345.2637
4,1,1.2,1.5,-10.327200000000005
5,1,1.4,1.6,-22.39779999999996
6,1,1.4,1.6,-22.39779999999996
7,1,1.2,1.5,-10.327200000000005
8,1,0.6,1.3,-345.2637
9,1,0.2,0.2,-322.062
10,1,0.2,0.2,-322.062
11,1,2.2,2.4,-193.691
0,2,2.2,2.4,-193.691
1,2,0.2,0.2,-322.062
2,2,1.4,0.9,-357.1798
3,2,1.2,1.8,-33.81060000000002
4,2,1.6,1.9,-59.77180000000004
5,2,1.0,2.2,-73.02930000000009
6,2,1.0,2.2,-73.02930000000009
7,2,1.6,1.9,-59.77180000000004
8,2,1.2,1.8,-33.81060000000002
9,2,1.4,0.9,-357.1798
10,2,0.2,0.2,-322.062
11,2,2.2,2.4,-193.691
0,3,0.2,0.2,-322.062
1,3,0.6,1.3,-345.2637
2,3,1.2,1.8,-33.81060000000002
3,3,1.0,2.2,-73.02930000000009
4,3,2.2,1.4,-100.481
5,3,1.2,2.3,-110.404
6,3,1.2,2.3,-110.404
7,3,2.2,1.4,-100.481
8,3,1.0,2.2,-73.02930000000009
9,3,1.2,1.8,-33.81060000000002
10,3,0.6,1.3,-345.2637
11,3,0.2,0.2,-322.062
0,4,0.2,0.2,-322.062
1,4,1.2,1.5,-10.327200000000005
2,4,1.6,1.9,-59.77180000000004
3,4,2.2,1.4,-100.481
4,4,2.2,1.7,-125.042
5,4,1.2,2.4,-137.83000000000004
6,4,1.2,2.4,-137.83000000000004
7,4,2.2,1.7,-125.042
8,4,2.2,1.4,-100.481
9,4,1.6,1.9,-59.77180000000004
10,4,1.2,1.5,-10.327200000000005
11,4,0.2,0.2,-322.062
0,5,0.2,0.2,-322.062
1,5,1.4,1.6,-22.39779999999996
2,5,1.0,2.2,-73.02930000000009
3,5,1.2,2.3,-110.404
4,5,1.2,2.4,-137.83000000000004
5,5,1.4,2.4,-152.92399999999998
6,5,1.4,2.4,-152.92399999999998
7,5,1.2,2.4,-137.83000000000004
8,5,1.2,2.3,-110.404
9,5,1.0,2.2,-73.02930000000009
10,5,1.4,1.6,-22.39779999999996
11,5,0.2,0.2,-322.062
0,6,0.2,0.2,-322.062
1,6,1.4,1.6,-22.39779999999996
2,6,1.0,2.2,-73.02930000000009
3,6,1.2,2.3,-110.404
4,6,1.2,2.4,-137.83000000000004
5,6,1.4,2.4,-152.92399999999998
6,6,1.4,2.4,-152.92399999999998
7,6,1.2,2.4,-137.83000000000004
8,6,1.2,2.3,-110.404
9,6,1.0,2.2,-73.02930000000009
10,6,1.4,1.6,-22.39779999999996
11,6,0.2,0.2,-322.062
0,7,0.2,0.2,-322.062
1,7,1.2,1.5,-10.327200000000005
2,7,1.6,1.9,-59.77180000000004
3,7,2.2,1.4,-100.481
4,7,2.2,1.7,-125.042
5,7,1.2,2.4,-137.83000000000004
6,7,1.2,2.4,-137.83000000000004
7,7,2.2,1.7,-125.042
8,7,2.2,1.4,-100.481
9,7,1.6,1.9,-59.77180000000004
10,7,1.2,1.5,-10.327200000000005
11,7,0.2,0.2,-322.062
0,8,0.2,0.2,-322.062
1,8,0.6,1.3,-345.2637
2,8,1.2,1.8,-33.81060000000002
3,8,1.0,2.2,-73.02930000000009
4,8,2.2,1.4,-100.481
5,8,1.2,2.3,-110.404
6,8,1.2,2.3,-110.404
7,8,2.2,1.4,-100.481
8,8,1.0,2.2,-73.02930000000009
9,8,1.2,1.8,-33.81060000000002
10,8,0.6,1.3,-345.2637
11,8,0.2,0.2,-322.062
0,9,2.2,2.4,-193.691
1,9,0.2,0.2,-322.062
2,9,1.4,0.9,-357.1798
3,9,1.2,1.8,-33.81060000000002
4,9,1.6,1.9,-59.77180000000004
5,9,1.0,2.2,-73.02930000000009
6,9,1.0,2.2,-73.02930000000009
7,9,1.6,1.9,-59.77180000000004
8,9,1.2,1.8,-33.81060000000002
9,9,1.4,0.9,-357.1798
10,9,0.2,0.2,-322.062
11,9,2.2,2.4,-193.691
0,10,2.2,2.4,-193.691
1,10,0.2,0.2,-322.062
2,10,0.2,0.2,-322.062
3,10,0.6,1.3,-345.2637
4,10,1.2,1.5,-10.327200000000005
5,10,1.4,1.6,-22.39779999999996
6,10,1.4,1.6,-22.39779999999996
7,10,1.2,1.5,-10.327200000000005
8,10,0.6,1.3,-345.2637
9,10,0.2,0.2,-322.062
10,10,0.2,0.2,-322.062
11,10,2.2,2.4,-193.691
0,11,2.2,2.2,-149.431
1,11,2.2,2.4,-193.691
2,11,2.2,2.4,-193.691
3,11,0.2,0.2,-322.062
4,11,0.2,0.2,-322.062
5,11,0.2,0.2,-322.062
6,11,0.2,0.2,-322.062
7,11,0.2,0.2,-322.062
8,11,0.2,0.2,-322.062
9,11,2.2,2.4,-193.691
10,11,2.2,2.4,-193.691
11,11,2.2,2.2,-149.431
