"Freq [GHz]","top_length [mm]","ang_deg(S(FloquetPort2:1,FloquetPort1:1)) [deg]"
38,0.1,-152.898092996509
38,0.2,-151.963572386869
38,0.3,-151.750544047922
38,0.4,-154.405825169678
38,0.5,-155.104676461018
38,0.6,-156.044002070992
38,0.7,-155.670596518685
38,0.8,-159.64797232397
38,0.9,-164.231956989948
38,1,-169.833670746003
38,1.1,-174.996610642235
38,1.2,178.810463568419
38,1.3,172.976527288927
38,1.4,165.82297689546
38,1.5,158.423485133727
38,1.6,150.536398761686
38,1.7,141.747879960519
38,1.8,132.811936473112
38,1.9,123.365950463611
38,2,108.745422343696
38,2.1,88.652337850005
38,2.2,59.4036824768205
38,2.3,27.0623878354748
38,2.4,2.08445410587221
38,2.5,-13.4171515422927
38,2.6,-22.6376898136039
38,2.7,-31.3019433183718
38,2.8,-41.0809284449452
